ìsìπï{åß,èAêEåèêî(àÍî ),ëºåßÇ÷ÇÃèAêEåèêî(àÍî ),òJì≠é“êî(àÍî ),àÍî òJì≠é“êî(45çŒà»è„),àÍî òJì≠é“êî(55çŒà»è„),àÍî òJì≠é“êî(65çŒà»è„)
ëSçë,"633,178","83,540","2,996,709","1,474,681","644,798","121,585"
ñkäCìπ,"28,314","1,405","108,849","57,716","28,183","7,127"
ê¬êXåß,"13,473","1,209","23,033","12,354","6,080","1,379"
ä‚éËåß,"13,976","1,545","25,156","13,519","6,547","1,467"
ã{èÈåß,"15,636","1,790","52,592","24,965","10,948","1,998"
èHìcåß,"11,011",749,"18,322","10,056","4,961","1,102"
éRå`åß,"11,160",844,"23,440","11,691","5,659","1,028"
ïüìáåß,"16,197","1,693","40,354","20,237","9,655","1,918"
àÔèÈåß,"13,214","2,376","62,796","31,769","14,086","2,861"
ì»ñÿåß,"11,965","2,088","48,006","23,749","10,807","1,737"
åQînåß,"9,493","1,567","46,250","23,123","10,293","1,854"
çÈã åß,"18,741","6,101","119,672","63,612","27,493","5,034"
êÁótåß,"15,936","5,203","99,242","49,559","21,899","4,263"
ìåãûìs,"37,738","5,176","647,033","292,126","117,459","20,600"
ê_ìﬁêÏåß,"19,848","5,962","165,933","85,387","36,967","6,288"
êVäÉåß,"17,928","1,098","49,355","25,570","11,402","2,139"
ïxéRåß,"7,876",702,"26,224","13,441","5,855","1,083"
êŒêÏåß,"7,371",704,"25,111","13,608","5,967","1,143"
ïüà‰åß,"6,824",521,"18,391","9,146","4,066",797
éRóúåß,"5,131",638,"15,675","8,248","4,100",936
í∑ñÏåß,"14,489",960,"44,094","22,538","9,948","1,713"
äÚïååß,"10,237","1,326","39,099","20,311","9,307","1,942"
ê√â™åß,"15,994","1,559","89,168","43,990","19,809","3,735"
à§ímåß,"23,834","2,476","192,254","91,787","38,927","6,751"
éOèdåß,"9,111","1,168","36,898","18,567","8,548","1,470"
é†âÍåß,"7,399","1,327","28,864","14,800","6,322","1,201"
ãûìsï{,"11,495","1,999","47,380","23,389","9,855","1,528"
ëÂç„ï{,"34,014","4,082","232,356","115,825","48,259","7,402"
ï∫å…åß,"21,859","4,301","111,227","53,084","22,469","3,637"
ìﬁó«åß,"6,095","1,699","16,960","8,967","3,737",555
òaâÃéRåß,"5,714",829,"20,841","10,575","4,942",780
íπéÊåß,"5,251",624,"10,834","5,588","2,508",523
