都道府県,就職件数(一般),他県への就職件数(一般),労働者数(一般),一般労働者数(45歳以上),一般労働者数(55歳以上)
全国,"633,178","83,540","2,996,709","1,474,681","644,798"
北海道,"28,314","1,405","108,849","57,716","28,183"
青森県,"13,473","1,209","23,033","12,354","6,080"
岩手県,"13,976","1,545","25,156","13,519","6,547"
宮城県,"15,636","1,790","52,592","24,965","10,948"
秋田県,"11,011",749,"18,322","10,056","4,961"
山形県,"11,160",844,"23,440","11,691","5,659"
福島県,"16,197","1,693","40,354","20,237","9,655"
茨城県,"13,214","2,376","62,796","31,769","14,086"
栃木県,"11,965","2,088","48,006","23,749","10,807"
群馬県,"9,493","1,567","46,250","23,123","10,293"
埼玉県,"18,741","6,101","119,672","63,612","27,493"
千葉県,"15,936","5,203","99,242","49,559","21,899"
東京都,"37,738","5,176","647,033","292,126","117,459"
神奈川県,"19,848","5,962","165,933","85,387","36,967"
新潟県,"17,928","1,098","49,355","25,570","11,402"
富山県,"7,876",702,"26,224","13,441","5,855"
石川県,"7,371",704,"25,111","13,608","5,967"
福井県,"6,824",521,"18,391","9,146","4,066"
山梨県,"5,131",638,"15,675","8,248","4,100"
長野県,"14,489",960,"44,094","22,538","9,948"
岐阜県,"10,237","1,326","39,099","20,311","9,307"
静岡県,"15,994","1,559","89,168","43,990","19,809"
愛知県,"23,834","2,476","192,254","91,787","38,927"
三重県,"9,111","1,168","36,898","18,567","8,548"
滋賀県,"7,399","1,327","28,864","14,800","6,322"
京都府,"11,495","1,999","47,380","23,389","9,855"
大阪府,"34,014","4,082","232,356","115,825","48,259"
兵庫県,"21,859","4,301","111,227","53,084","22,469"
奈良県,"6,095","1,699","16,960","8,967","3,737"
和歌山県,"5,714",829,"20,841","10,575","4,942"
鳥取県,"5,251",624,"10,834","5,588","2,508"
島根県,"6,636",878,"12,491","6,500","2,961"
岡山県,"12,808","1,521","41,182","20,617","8,856"
広島県,"16,331","1,471","67,006","32,302","14,320"
山口県,"10,325","1,284","28,680","15,455","6,997"
徳島県,"5,929",594,"14,974","7,180","2,970"
香川県,"7,785",793,"20,972","11,120","4,926"
愛媛県,"10,080",854,"25,601","13,542","6,395"
高知県,"6,182",491,"12,834","6,540","2,673"
福岡県,"28,977","3,526","117,225","56,848","25,767"
佐賀県,"8,044","1,463","16,980","8,431","4,085"
長崎県,"12,253","1,340","27,508","13,593","6,661"
熊本県,"12,106","1,365","31,837","15,791","7,801"
大分県,"10,353","1,021","21,638","11,064","5,386"
宮崎県,"12,001","1,036","20,402","10,468","5,363"
鹿児島県,"16,012","1,379","27,856","14,509","7,339"
沖縄県,"10,032",803,"24,115","11,422","5,238"
