都道府県,"2025年
1～9月","2024年
1～9月",増減,増減率(％)
全国,3058,2872,186,6.5
北海道　計,109,105,4,3.8
札幌方面,82,72,10,13.9
函館方面,6,4,2,50
旭川方面,3,6,-3,-50
釧路方面,11,17,-6,-35.3
北見方面,7,6,1,16.7
東北　計,186,212,-26,-12.3
青森県,35,57,-22,-38.6
岩手県,25,31,-6,-19.4
宮城県,64,69,-5,-7.2
秋田県,11,16,-5,-31.3
山形県,18,9,9,100
福島県,33,30,3,10
東京都,471,447,24,5.4
関東　計,746,646,100,15.5
茨城県,57,44,13,29.5
栃木県,30,22,8,36.4
群馬県,37,39,-2,-5.1
埼玉県,194,165,29,17.6
千葉県,126,92,34,37
神奈川県,148,162,-14,-8.6
新潟県,40,36,4,11.1
山梨県,18,9,9,100
長野県,27,27,0,0
静岡県,69,50,19,38
中部　計,322,350,-28,-8
富山県,16,28,-12,-42.9
石川県,17,26,-9,-34.6
福井県,12,30,-18,-60
岐阜県,30,32,-2,-6.3
愛知県,210,202,8,4
三重県,37,32,5,15.6
近畿　計,553,568,-15,-2.6
滋賀県,39,38,1,2.6
京都府,57,64,-7,-10.9
大阪府,285,283,2,0.7
兵庫県,127,140,-13,-9.3
奈良県,20,17,3,17.6
和歌山県,25,26,-1,-3.8
中国　計,164,125,39,31.2
鳥取県,17,15,2,13.3
島根県,11,15,-4,-26.7
岡山県,42,37,5,13.5
広島県,71,48,23,47.9
山口県,23,10,13,130
四国　計,80,75,5,6.7
徳島県,7,9,-2,-22.2
香川県,32,25,7,28
愛媛県,23,27,-4,-14.8
高知県,18,14,4,28.6
九州　計,427,344,83,24.1
福岡県,156,128,28,21.9
佐賀県,22,30,-8,-26.7
長崎県,33,22,11,50
熊本県,47,46,1,2.2
大分県,14,18,-4,-22.2
宮崎県,26,25,1,4
鹿児島県,64,43,21,48.8
沖縄県,65,32,33,103.1
